daily_hazardous_air_pollutants_id,state_geocodes_id,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,obervation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
dh1000,CC1001,1,3,10,43218,10,30.498001,-87.881412,NAD83,13-Butadiene,24 HOUR,NA,6/3/10,Parts per billion Carbon,None,1,100,0,0,0,NA,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, FAIRHOPE,  ALABAMA",Alabama,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",6/10/13
dh10000,CC1096,4,1,8001,88112,1,34.058475,-109.441259,WGS84,Chromium PM2.5 LC,24 HOUR,NA,2/13/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",,Mount Baldy,Arizona,Apache,Not in a city,,6/29/13
dh100000,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,9/20/10,Micrograms/cubic meter (LC),None,1,100,0.001,0.001,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100001,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,9/29/10,Micrograms/cubic meter (LC),None,1,100,0.001,0.001,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100002,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,10/2/10,Micrograms/cubic meter (LC),None,1,100,0.003,0.003,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100003,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,10/5/10,Micrograms/cubic meter (LC),None,1,100,0.001,0.001,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100004,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,10/8/10,Micrograms/cubic meter (LC),None,1,100,0.002,0.002,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100005,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,10/11/10,Micrograms/cubic meter (LC),None,1,100,0.002,0.002,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100006,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,10/14/10,Micrograms/cubic meter (LC),None,1,100,0.002,0.002,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100007,CC1384,12,129,1,88128,1,30.0925,-84.161111,WGS84,Lead PM2.5 LC,24 HOUR,NA,10/17/10,Micrograms/cubic meter (LC),None,1,100,0.002,0.002,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
