hcahps_id,provider_id,hcahps_measure_id,hcahps_question,hcahps_answer_description,hcahps_answer_percent,number_of_completed_surveys,survey_response_rate,footnote,measure_start_date,measure_end_date
F1000,1014,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",70,300 or more,30,,10/1/12,9/30/13
F10000,1019,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",0,Fewer than 100,32,10,10/1/12,9/30/13
F100000,1021,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",66,Fewer than 100,41,6,10/1/12,9/30/13
F100001,3012,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",9,Fewer than 100,41,6,10/1/12,9/30/13
F100002,3013,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",25,Fewer than 100,41,6,10/1/12,9/30/13
F100003,3033,H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",15,Fewer than 100,41,6,10/1/12,9/30/13
F100004,4009,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",59,Fewer than 100,41,6,10/1/12,9/30/13
F100005,4010,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",26,Fewer than 100,41,6,10/1/12,9/30/13
F100006,5025,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",82,Between 100 and 299,35,,10/1/12,9/30/13
F100007,5027,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",4,Between 100 and 299,35,,10/1/12,9/30/13
F100008,5030,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",14,Between 100 and 299,35,,10/1/12,9/30/13
F100009,5031,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",82,Between 100 and 299,35,,10/1/12,9/30/13
