hospital_associated_infection_id,provider_id,measure_name,measure_id,compared_to_national,score,footnote,measure_start_date,measure_end_date
H1000,1014,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,No Different than U.S. National Benchmark,0.559,,10/1/12,9/30/13
H10000,1019,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100000,1021,CLABSI Lower Confidence Limit,HAI_1_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100001,3012,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100002,3013,CLABSI Central Line Days,HAI_1_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100003,3033,CLABSI Predicted Cases,HAI_1_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100004,4009,CLABSI Observed Cases,HAI_1_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100005,4010,Central line-associated blood stream infections (CLABSI),HAI_1_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100006,5025,CAUTI Lower Confidence Limit,HAI_2_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100007,5027,CAUTI Upper Confidence Limit,HAI_2_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100008,5030,CAUTI Urinary Catheter Days,HAI_2_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100009,5031,CAUTI Predicted Cases,HAI_2_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H10001,5114,CLABSI Upper Confidence Limit,HAI_1_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100010,5127,CAUTI Observed Cases,HAI_2_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100011,5128,Catheter-Associated Urinary Tract Infections (CAUTI),HAI_2_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100012,5130,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100013,6005,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100014,6007,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100015,7003,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100016,8002,SSI: Colon Observed Cases,HAI_3_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100017,9002,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100018,100001,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100019,100002,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H10002,100006,CLABSI Central Line Days,HAI_1_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100020,100007,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100021,100008,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100022,100009,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100023,10001,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
H100024,100012,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100025,100014,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100026,100017,MRSA Patient Days,HAI_5_DOPC_DAYS,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100027,100018,MRSA Predicted Cases,HAI_5_ELIGCASES,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
H100028,100019,MRSA Observed Cases,HAI_5_NUMERATOR,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
