provider_npi,provider_id,hospital_name,address,city,state,state_code,zipcode,county_name,phone_number,hospital_type,hospital_ownership,emergency_services
1639285133,1014,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,1,35233,JEFFERSON,(205)933-4515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1720299340,1019,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,1,36109,MONTGOMERY,(334)260-4100,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1538139399,1021,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,AL,1,35404,TUSCALOOSA,(205)554-2000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1538139399,3012,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,4,85012,MARICOPA,(602)222-6444,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1538139399,3013,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,4,85723,PIMA,(520)629-1821,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1134168776,3033,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,4,86313,YAVAPAI,(928)445-4860,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1962406504,4009,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,5,72703,WASHINGTON,(479)444-5058,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1962406504,4010,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,5,72205,PULASKI,(501)257-1000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1437159407,5025,FRESNO VA MEDICAL CENTER - VA CENTRAL CALIFORNIA,2615 E. CLINTON AVENUE,FRESNO,CA,6,93703,FRESNO,(559)228-5338,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1437159407,5027,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,6,90822,LOS ANGELES,(562)826-8000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1437159407,5030,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,6,95655,SACRAMENTO,(800)382-8387,county_name ,Government Federal,No
1639285133,5031,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,6,94304,SANTA CLARA,(650)858-3939,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1235494485,5114,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,6,92161,SAN DIEGO,(858)552-8585,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1891740080,5127,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,6,92357,SAN BERNARDINO,(909)825-7084,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1891740080,5128,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,WEST LOS ANGELES,CA,6,90073,LOS ANGELES,(310)478-3711,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1326327008,5130,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,6,94121,SAN FRANCISCO,(415)221-4810,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1326327008,6005,VA EASTERN COLORADO HEALTHCARE SYSTEM,1055 CLERMONT STREET,DENVER,CO,8,80220,DENVER,(303)393-2800,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1821094194,6007,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,8,81501,MESA,(970)244-1329,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1821094194,7003,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,9,6516,NEW HAVEN,(203)932-5711,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1821094194,8002,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,10,19805,NEW CASTLE,(302)994-2511,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1659544716,9002,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,11,20422,DISTRICT OF COLUMBIA,(202)745-8000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1659544716,100001,UF HEALTH JACKSONVILLE,655 W 8TH ST,JACKSONVILLE,FL,12,32209,DUVAL,(904)244-0411,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1376597641,100002,BETHESDA  HOSPITAL EAST,2815 S SEACREST BLVD,BOYNTON BEACH,FL,12,33435,PALM BEACH,(561)737-7733,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1083691000,100006,ORLANDO HEALTH,1414 S KUHL AVE,ORLANDO,FL,12,32806,ORANGE,(321)841-5111,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1083691000,100007,FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,FL,12,32803,ORANGE,(407)303-1976,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1083691000,100008,BAPTIST HOSPITAL OF MIAMI INC,8900 N KENDALL DR,MIAMI,FL,12,33176,MIAMI-DADE,(786)596-1960,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1730129826,100009,UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,MIAMI,FL,12,33136,MIAMI-DADE,(305)325-5511,Acute Care Hospitals,Voluntary non-profit - Private,Yes
1730129826,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,1,36301,HOUSTON,(334)793-8701,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1578525432,100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,FL,12,33901,LEE,(239)332-1111,Acute Care Hospitals,Government - Hospital District or Authority,Yes
