medicare_hospital_spending_per_patient_id,provider_id,measure_name,measure_id,score,footnote,measure_start_date,measure_end_date
G1000,1014,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1001,1019,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1002,1021,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,1/1/13,12/31/13
G1003,3012,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1004,3013,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,1/1/13,12/31/13
G1005,3033,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1006,4009,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1007,4010,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,1/1/13,12/31/13
G1008,5025,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,NULL,1 - The number of cases/patients is too few to report.,1/1/13,12/31/13
G1009,5027,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,1/1/13,12/31/13
G1010,5030,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1011,5031,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1012,5114,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1013,5127,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,1/1/13,12/31/13
G1014,5128,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1015,5130,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,1/1/13,12/31/13
G1016,6005,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,1/1/13,12/31/13
G1017,6007,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,1/1/13,12/31/13
G1018,7003,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,1/1/13,12/31/13
G1019,8002,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,1/1/13,12/31/13
G1020,9002,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,1/1/13,12/31/13
