nursing_home_provider_info_id,provnum,provider_id,provider_name,address,city,state,zipcode,phone,county_ssa,county_name,ownership,bedcert,restot,certification,inhosp,lbn,participation_date,ccrc_facil,ssf,chow_last,resfamcouncil,sprinkler_status,overall_rating,overall_rating_fn,survey_rating,survey_rating_fn,quality_rating,quality_rating_fn,staffing_rating,staffing_rating_fn,RN_staffing_rating,RN_staffing_rating_fn,STAFFING_FLAG,PT_STAFFING_FLAG,AIDHRD,VOCHRD,RNHRD,TOTLICHRD,TOTHRD,PTHRD,exp_aide,exp_lpn,exp_rn,exp_total,adj_aide,adj_lpn,adj_rn,adj_total,cycle_1_defs,cycle_1_nfromdefs,cycle_1_nfromcomp,cycle_1_defs_score,CYCLE_1_SURVEY_DATE,CYCLE_1_NUMREVIS,CYCLE_1_REVISIT_SCORE,CYCLE_1_TOTAL_SCORE,cycle_2_defs,cycle_2_nfromdefs,cycle_2_nfromcomp,cycle_2_defs_score,CYCLE_2_SURVEY_DATE,CYCLE_2_NUMREVIS,CYCLE_2_REVISIT_SCORE,CYCLE_2_TOTAL_SCORE,cycle_3_defs,cycle_3_nfromdefs,cycle_3_nfromcomp,cycle_3_defs_score,CYCLE_3_SURVEY_DATE,CYCLE_3_NUMREVIS,CYCLE_3_REVISIT_SCORE,CYCLE_3_TOTAL_SCORE,WEIGHTED_ALL_CYCLES_SCORE,incident_cnt,cmplnt_cnt,FINE_CNT,FINE_TOT,PAYDEN_CNT,TOT_PENLTY_CNT,FILEDATE
b1000,15009,1014,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,(256) 332-4110,290,Franklin,For profit - Corporation,57,51,Medicare and Medicaid,NO,"BURNS NURSING HOME, INC.",9/1/69,N,N,N,Both,Yes,5,,4,,5,,4,,4,,,,2.14412,0.94706,0.7049,1.65196,3.79608,0.01078,2.52348,0.63367,0.86279,4.01993,2.08483,1.24049,0.61047,3.80644,3,3,0,12,9/5/13,1,0,12,0,0,0,0,9/7/12,0,0,0,3,3,0,24,8/11/11,1,0,24,10,0,0,0,0,0,0,"10/1/14
"
b10000,335392,1019,CROWN CENTER FOR NURSING & REHABILITATION,28 KELLOGG ROAD,CORTLAND,NY,13045,(607) 753-9631,210,Cortland,For profit - Corporation,200,180,Medicare and Medicaid,NO,CORTLAND OPERATING CO LLC,2/21/73,N,N,N,Resident,Yes,1,,1,,3,,1,,1,,,,1.625,0.53778,0.31361,0.85139,2.47639,0.05944,2.2493,0.64001,0.9715,3.86082,1.77267,0.69742,0.2412,2.58548,24,24,1,128,10/24/13,1,0,128,21,21,3,120,11/9/12,1,0,120,25,22,4,323,12/9/11,2,162,485,184.833,7,6,0,0,0,0,"10/1/14
"
b10001,335393,1021,SUSQUEHANNA NURSING AND REHAB CENTER L L C,282 RIVERSIDE DR,JOHNSON CITY,NY,13790,(607) 729-9206,30,Broome,For profit - Corporation,160,152,Medicare and Medicaid,NO,"SUSQUEHANNA NURSING & REHABILITATION CENTER, LLC",3/5/73,N,N,N,Both,Yes,5,,3,,5,,4,,3,,,,2.38553,1.10296,0.58355,1.68651,4.07204,0.075,2.55889,0.6402,0.98181,4.1809,2.28746,1.42995,0.44411,3.92595,7,7,1,28,8/9/13,1,0,28,2,2,0,8,7/26/12,1,0,8,5,3,2,20,5/19/11,1,0,20,20,0,2,0,0,0,0,"10/1/14
"
b10002,335394,3012,WESLEY HEALTH CARE CENTER,131 LAWRENCE STREET,SARATOGA SPRINGS,NY,12866,(518) 587-3600,640,Saratoga,Non profit - Corporation,356,340,Medicare and Medicaid,NO,"WESLEY HEALTH CARE CENTER, INC.",1/1/74,N,N,N,Both,Partial,3,,2,,4,,4,,3,,,,2.64368,1.00147,0.58632,1.58779,4.23147,0.05588,2.52423,0.63727,0.93117,4.09266,2.56981,1.30435,0.47048,4.16761,4,0,4,48,2/6/14,0,0,48,4,2,2,20,12/19/12,1,0,20,9,9,2,44,11/16/11,1,0,44,38,4,3,0,0,0,0,"10/1/14
"
b10003,335396,3013,MONTGOMERY NURSING AND REHABILITATION CENTER,2817 ALBANY POST ROAD,MONTGOMERY,NY,12549,(845) 457-3155,540,Orange,For profit - Corporation,100,93,Medicare and Medicaid,NO,MONTGOMERY OPERATING CO LLC,11/1/73,N,N,N,Resident,Partial,1,,2,,2,,1,,2,,,,2.29892,0.67796,0.57796,1.25591,3.55484,0.05753,2.53822,0.69655,1.25026,4.48503,2.22237,0.80785,0.34541,3.1949,8,8,0,28,7/8/14,1,0,28,9,9,0,32,6/28/13,1,0,32,5,5,0,12,6/8/12,1,0,12,26.667,1,1,0,0,0,0,"10/1/14
"
b10004,335397,3033,ORCHARD MANOR REHABILITATION AND NURSING CENTER,600 BATES ROAD,MEDINA,NY,14103,(585) 798-4100,550,Orleans,For profit - Individual,160,142,Medicare and Medicaid,NO,OMOP LLC,11/1/73,N,N,N,Both,Partial,1,,2,,2,,1,,1,,,,2.23275,0.5088,0.25282,0.76162,2.99437,0.10317,2.5633,0.70126,1.22024,4.4848,2.13729,0.60221,0.15481,2.69132,10,10,0,36,1/14/14,1,0,36,6,6,0,28,11/13/12,1,0,28,3,3,0,16,11/10/11,1,0,16,30,0,0,0,0,0,0,"10/1/14
"
b10005,335398,4009,SANS SOUCI REHABILITATION AND NURSING CENTER,115 PARK AVENUE,YONKERS,NY,10703,(914) 423-9800,800,Westchester,For profit - Corporation,120,102,Medicare and Medicaid,NO,WESTCHESTER PARK LLC,11/1/73,N,N,N,Resident,Yes,3,,3,,5,,1,,1,,,,2.26618,0.81422,0.43971,1.25392,3.52011,0.2348,2.40858,0.65152,1.2098,4.26989,2.30864,1.03728,0.27157,3.32308,4,4,0,16,10/24/13,1,0,16,2,2,0,20,11/20/12,1,0,20,8,7,1,40,12/16/11,1,0,40,21.333,1,0,0,0,0,0,"10/1/14
"
b10006,335399,4010,HUDSON VALLEY REHAB AND EXT CARE FACILITY,"260 VINEYARD AVE, RT 44/55",HIGHLAND,NY,12528,(845) 691-7201,740,Ulster,For profit - Partnership,203,163,Medicare and Medicaid,NO,HUDSON VALLEY CARE PARTNERS LLC,8/20/73,N,N,N,Resident,Yes,2,,2,,4,,2,,1,,,,2.63129,1.20184,0.32331,1.52515,4.15644,0.03957,2.43773,0.689,1.06647,4.19321,2.64852,1.44779,0.22652,3.99555,0,0,0,0,6/24/14,0,0,0,9,7,2,76,9/20/13,1,0,76,5,5,0,20,10/17/12,1,0,20,28.667,0,1,0,0,0,0,"10/1/14
"
b10007,335400,5025,SENECA NURSING AND REHABILITATION CENTER,200 DOUGLAS DRIVE,WATERLOO,NY,13165,(315) 539-9202,680,Seneca,For profit - Corporation,120,100,Medicare and Medicaid,NO,SENECA NURSING & REHAB CENTER,10/8/73,N,N,N,Both,Yes,2,,3,,4,,1,,2,,,,1.8,0.8695,0.546,1.4155,3.2155,0.092,2.5324,0.64574,1.20479,4.38293,1.74406,1.11762,0.33862,2.95724,8,8,2,36,5/16/14,1,0,36,1,1,0,4,4/22/13,1,0,4,3,3,0,12,3/16/12,1,0,12,21.333,1,1,0,0,0,0,"10/1/14
"
b10008,335401,5027,MOMENTUM AT SOUTH BAY FOR REHABILATION AND NURSING,340 EAST MONTAUK HIGHWAY,EAST ISLIP,NY,11730,(631) 581-6400,700,Suffolk,Non profit - Other,160,152,Medicare and Medicaid,NO,"SUFFOLK RESTORATIVE THERAPY & NURSING, LLC",10/25/73,N,N,N,Both,Yes,3,,2,,5,,3,,3,,,,2.20526,0.80691,0.85493,1.66184,3.8671,0.12467,2.38367,0.67368,1.3375,4.39485,2.27005,0.99414,0.47761,3.54686,3,3,0,28,4/9/14,1,0,28,8,8,0,32,4/18/13,1,0,32,4,4,0,32,5/29/12,2,16,48,32.667,0,0,0,0,0,0,"10/1/14
"
