readmission_reduction_id,provider_id,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
J1000,1014,READM-30-HF-HRRP,231,,1.0872,25.2,23.2,63,7/1/09,6/30/12
J10000,1019,READM-30-PN-HRRP,961,,0.9911,16.7,16.9,160,7/1/09,6/30/12
J10001,1021,READM-30-AMI-HRRP,521,,0.9695,16,16.5,82,7/1/09,6/30/12
J10002,3012,READM-30-HF-HRRP,994,,0.9985,23.4,23.5,233,7/1/09,6/30/12
J10003,3013,READM-30-PN-HRRP,321,,0.9607,17.5,18.2,54,7/1/09,6/30/12
J10004,3033,READM-30-AMI-HRRP,507,,1.1422,19.9,17.4,107,7/1/09,6/30/12
J10005,4009,READM-30-HF-HRRP,662,,0.9381,21.8,23.3,141,7/1/09,6/30/12
J10006,4010,READM-30-PN-HRRP,342,,1.0267,18.6,18.1,65,7/1/09,6/30/12
J10007,5025,READM-30-AMI-HRRP,154,,0.8834,17.4,19.7,21,7/1/09,6/30/12
J10008,5027,READM-30-HF-HRRP,396,,0.9243,21,22.8,79,7/1/09,6/30/12
J10009,5030,READM-30-PN-HRRP,182,,1.0333,18.2,17.6,35,7/1/09,6/30/12
J1001,5031,READM-30-PN-HRRP,251,,1.0365,18.3,17.7,48,7/1/09,6/30/12
J10010,5114,READM-30-AMI-HRRP,78,,0.9623,17.7,18.4,12,7/1/09,6/30/12
J10011,5127,READM-30-HF-HRRP,339,,0.9695,21.7,22.4,72,7/1/09,6/30/12
J10012,5128,READM-30-PN-HRRP,194,,1.0076,18.3,18.2,36,7/1/09,6/30/12
J10013,5130,READM-30-AMI-HRRP,290,,1.0785,21.5,19.9,66,7/1/09,6/30/12
J10014,6005,READM-30-HF-HRRP,560,,0.9417,21.8,23.2,119,7/1/09,6/30/12
J10015,6007,READM-30-PN-HRRP,280,,1.003,18.5,18.5,52,7/1/09,6/30/12
J10016,7003,READM-30-AMI-HRRP,269,,0.8726,15,17.2,34,7/1/09,6/30/12
J10017,8002,READM-30-HF-HRRP,657,,0.907,20.1,22.2,127,7/1/09,6/30/12
