timely_and_effective_care_id,provider_id,condition,measure_id,measure_name,score,sample,footnote,measure_start_date,measure_end_date
N1000,1014,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,98,594,,10/1/12,9/30/13
N10000,1019,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,100,22,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N100000,1021,Stroke Care,STK_4,Thrombolytic Therapy,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100001,3012,Stroke Care,STK_5,Antithrombotic Therapy by End of Hospital Day 2 ,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100002,3013,Stroke Care,STK_6,Discharged on Statin Medication,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100003,3033,Stroke Care,STK_8,Stroke Education,NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100004,4009,Blood Clot Prevention and Treatment,VTE_1,Venous thromboembolism prophylaxis,42,69,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N100005,4010,Blood Clot Prevention and Treatment,VTE_2,ICU venous thromboembolism prophylaxis,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100006,5025,Blood Clot Prevention and Treatment,VTE_3,Anticoagulation overlap therapy,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100007,5027,Blood Clot Prevention and Treatment,VTE_4,Unfractionated heparin with dosages/platelet count monitoring,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100008,5030,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N100009,5031,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,NULL,NULL,"1 - The number of cases/patients is too few to report., 2 - Data submitted were based on a sample of cases/patients.",1/1/13,9/30/13
N10001,5114,Blood Clot Prevention and Treatment,VTE_5,Warfarin therapy discharge instructions,50,60,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N100010,5127,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100011,5128,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100012,5130,Heart Attack or Chest Pain,AMI_7a,Heart attack patients given drugs to break up blood clots within 30 minutes of arrival,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100013,6005,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,NULL,0,7 - No cases met the criteria for this measure.,10/1/12,9/30/13
N100014,6007,Emergency Department,ED_1b,ED1,246,114,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100015,7003,Emergency Department,ED_2b,ED2,55,105,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100016,8002,Heart Failure,HF_1,Discharge instructions,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100017,9002,Heart Failure,HF_2,Evaluation of LVS Function,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100018,100001,Heart Failure,HF_3,ACEI or ARB for LVSD,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100019,100002,Preventive Care,IMM_1a,Immunization for pneumonia,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,9/30/13
N10002,100006,Blood Clot Prevention and Treatment,VTE_6,Incidence of potentially preventable VTE,9,11,2 - Data submitted were based on a sample of cases/patients.,1/1/13,9/30/13
N100020,100007,Preventive Care,IMM_2,Immunization for influenza,NULL,NULL,5 - Results are not available for this reporting period.,10/1/12,3/31/13
N100021,100008,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100022,100009,Emergency Department,OP_18b,OP 18,103,986,,10/1/12,9/30/13
N100023,10001,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100024,100012,Emergency Department,OP_20,Door to diagnostic eval,28,579,,10/1/12,9/30/13
N100025,100014,Emergency Department,OP_21,Median time to pain med,59,28,,10/1/12,9/30/13
N100026,100017,Emergency Department,OP_22,Left before being seen,NULL,NULL,5 - Results are not available for this reporting period.,1/1/12,12/31/12
N100027,100018,Emergency Department,OP_23,Head CT results,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100028,100019,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NULL,NULL,1 - The number of cases/patients is too few to report.,10/1/12,9/30/13
N100029,100022,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,96,27,,10/1/12,9/30/13
N10003,100023,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,NULL,0,"3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100030,100025,Heart Attack or Chest Pain,OP_5,Median Time to ECG,12,27,,10/1/12,9/30/13
N100031,100026,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,98,42,,10/1/12,9/30/13
N100032,100028,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,91,70,,10/1/12,9/30/13
N100033,100029,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",NULL,NULL,5 - Results are not available for this reporting period.,1/1/13,9/30/13
N100034,100030,Pneumonia,PN_3b,Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,98,56,,10/1/12,9/30/13
N100035,100032,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,91,34,,10/1/12,9/30/13
N100036,100034,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,100,40,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100037,100035,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,98,167,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100038,100038,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,100,201,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100039,100039,Surgical Care Improvement Project,SCIP_INF_2,Prophylactic Antibiotic Selection for Surgical Patients,99,167,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N10004,100040,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,NULL,NULL,"1 - The number of cases/patients is too few to report., 3 - Results are based on a shorter time period than required.",10/1/12,9/30/13
N100040,100043,Surgical Care Improvement Project,SCIP_INF_3,Prophylactic antibiotics discontinued within 24 hours after surgery end time,98,167,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
N100041,100044,Surgical Care Improvement Project,SCIP_INF_4,Cardiac Surgery Patients With Controlled 6 A.M. Postoperative Blood Glucose,NULL,0,"2 - Data submitted were based on a sample of cases/patients., 7 - No cases met the criteria for this measure.",10/1/12,9/30/13
N100042,100045,Surgical Care Improvement Project,SCIP_INF_9,Postoperative Urinary Catheter Removal,100,41,2 - Data submitted were based on a sample of cases/patients.,10/1/12,9/30/13
